Date,Value,,,
2018-05-15,110.2990,,,
2018-05-16,110.3680,,,
2018-05-17,110.8330,,,
2018-05-18,110.7760,,,
2018-05-19,110.7760,,,
2018-05-20,110.8790,,,
2018-05-21,110.9800,,,
2018-05-22,110.7290,,,
2018-05-23,109.8870,,,
2018-05-24,109.3170,,,
2018-05-25,109.4250,,,
2018-05-26,109.4250,,,
2018-05-27,109.5900,,,
2018-05-28,109.3980,,,
2018-05-29,108.3930,,,
2018-05-30,108.7110,,,
2018-05-31,108.7530,,,
2018-06-01,109.5180,,,
2018-06-02,109.5180,,,
2018-06-03,109.6010,,,
2018-06-04,109.9600,,,
2018-06-05,109.8770,,,
2018-06-06,110.1370,,,
2018-06-07,109.7040,,,
2018-06-08,109.5150,,,
2018-06-09,109.5150,,,
2018-06-10,109.4550,,,
2018-06-11,110.3820,,,
2018-06-12,110.4520,,,
2018-06-13,110.2470,,,
2018-06-14,110.6420,,,
2018-06-15,110.6350,,,
2018-06-16,110.6350,,,
2018-06-17,110.6270,,,
2018-06-18,110.1220,,,
2018-06-19,110.0740,,,
2018-06-20,110.3590,,,
2018-06-21,109.9620,,,
2018-06-22,109.8550,,,
2018-06-23,109.8550,,,
2018-06-24,109.9220,,,
2018-06-25,109.6420,,,
2018-06-26,110.1120,,,
2018-06-27,110.2220,,,
2018-06-28,110.4890,,,
2018-06-29,110.6700,,,
2018-06-30,110.6700,,,
2018-07-01,110.7130,,,
2018-07-02,110.8700,,,
2018-07-03,110.4420,,,
2018-07-04,110.4900,,,
2018-07-05,110.5620,,,
2018-07-06,110.4640,,,
2018-07-07,110.4640,,,
2018-07-08,110.4250,,,
2018-07-09,110.9590,,,
2018-07-10,110.8440,,,
2018-07-11,111.9560,,,
2018-07-12,112.6600,,,
2018-07-13,112.3300,,,
2018-07-14,112.3300,,,
2018-07-15,112.4000,,,
2018-07-16,112.3850,,,
2018-07-17,113.0000,,,
2018-07-18,112.8100,,,
2018-07-19,112.3500,,,
2018-07-20,111.4160,,,
2018-07-21,111.4160,,,
2018-07-22,111.4161,,,
2018-07-23,111.4640,,,
2018-07-24,111.2350,,,
2018-07-25,110.8600,,,
2018-07-26,111.1480,,,
2018-07-27,111.0210,,,
2018-07-28,111.0210,,,
2018-07-29,110.9375,,,
2018-07-30,110.9965,,,
2018-07-31,111.8110,,,
2018-08-01,111.6225,,,
2018-08-02,111.6925,,,
2018-08-03,111.2650,,,
2018-08-04,111.2650,,,
2018-08-05,111.2365,,,
2018-08-06,111.3375,,,
2018-08-07,111.3440,,,
2018-08-08,110.9040,,,
2018-08-09,111.0875,,,
2018-08-10,110.8750,,,
2018-08-11,110.8750,,,
2018-08-12,110.6475,,,
2018-08-13,110.6765,,,
2018-08-14,111.2565,,,
2018-08-15,110.6345,,,
2018-08-16,111.0010,,,
2018-08-17,110.5050,,,
2018-08-18,110.5050,,,
2018-08-19,110.4830,,,
2018-08-20,109.9860,,,
2018-08-21,110.1655,,,
2018-08-22,110.6131,,,
2018-08-23,111.3955,,,
2018-08-24,111.2350,,,
2018-08-25,111.2350,,,
2018-08-26,111.2855,,,
2018-08-27,111.1405,,,
2018-08-28,111.1650,,,
2018-08-29,111.7145,,,
2018-08-30,111.0040,,,
2018-08-31,111.0404,,,
2018-09-01,111.0404,,,
2018-09-02,111.1471,,,
2018-09-03,111.0905,,,
